,area,cumulative
175,87.1,50.3
176,87.6,50.3
177,88.1,50.7
178,88.6,50.8
179,89.0,51.6
180,89.5,51.7
181,90.0,51.7
182,90.5,51.9
183,91.0,52.3
184,91.5,52.5
185,91.9,52.5
186,92.4,52.5
187,92.9,52.5
188,93.4,52.8
189,93.9,53.4
190,94.4,53.4
191,94.9,53.8
192,95.3,53.8
193,95.8,53.8
194,96.3,54.2
195,96.8,54.4
196,97.3,54.4
197,97.8,55.0
198,98.3,55.0
199,98.7,55.0
200,99.2,55.2
201,99.7,55.8
202,100.2,55.8
203,100.7,56.0
204,101.2,56.0
205,101.6,56.4
206,102.1,56.8
207,102.6,56.8
208,103.1,57.0
209,103.6,57.2
210,104.1,57.2
211,104.6,57.2
212,105.0,57.4
213,105.5,57.6
214,106.0,57.6
215,106.5,57.6
216,107.0,57.6
217,107.5,58.1
218,108.0,58.7
219,108.4,58.7
220,108.9,58.9
221,109.4,58.9
222,109.9,58.9
223,110.4,59.2
224,110.9,59.2
225,111.3,59.2
226,111.8,59.2
227,112.3,59.2
228,112.8,59.6
229,113.3,60.3
230,113.8,60.5
231,114.3,60.5
232,114.7,60.5
233,115.2,60.5
234,115.7,60.5
235,116.2,60.5
236,116.7,61.0
237,117.2,61.5
238,117.7,61.7
239,118.1,61.7
240,118.6,62.2
241,119.1,62.4
242,119.6,62.7
243,120.1,62.7
244,120.6,62.9
245,121.0,63.2
246,121.5,63.2
247,122.0,63.2
248,122.5,63.7
249,123.0,64.2
250,123.5,64.2
251,124.0,64.2
252,124.4,64.2
253,124.9,64.4
254,125.4,64.7
255,125.9,64.7
256,126.4,64.9
257,126.9,64.9
258,127.4,65.2
259,127.8,65.2
260,128.3,65.2
261,128.8,65.2
262,129.3,65.2
263,129.8,65.4
264,130.3,65.4
265,130.7,65.4
266,131.2,65.4
267,131.7,65.4
268,132.2,65.4
269,132.7,65.4
270,133.2,66.0
271,133.7,66.2
272,134.1,66.2
273,134.6,66.2
274,135.1,66.8
275,135.6,67.1
276,136.1,67.6
277,136.6,67.9
278,137.1,68.2
279,137.5,69.0
280,138.0,69.0
281,138.5,69.0
282,139.0,69.0
283,139.5,69.6
284,140.0,69.8
285,140.4,69.8
286,140.9,69.8
287,141.4,69.8
288,141.9,70.1
289,142.4,70.1
290,142.9,70.1
291,143.4,70.1
292,143.8,70.4
293,144.3,70.4
294,144.8,70.4
295,145.3,70.4
296,145.8,70.4
297,146.3,70.7
298,146.8,70.7
299,147.2,70.7
300,147.7,70.7
301,148.2,70.7
302,148.7,70.7
303,149.2,70.7
304,149.7,70.7
305,150.1,70.7
306,150.6,70.7
307,151.1,70.7
308,151.6,70.7
309,152.1,70.7
310,152.6,71.3
311,153.1,71.3
312,153.5,71.3
313,154.0,71.6
314,154.5,71.6
315,155.0,71.6
316,155.5,71.6
317,156.0,71.6
318,156.5,71.6
319,156.9,71.6
320,157.4,71.6
321,157.9,72.0
322,158.4,72.3
323,158.9,72.3
324,159.4,72.6
325,159.8,72.9
326,160.3,72.9
327,160.8,72.9
328,161.3,72.9
329,161.8,73.2
330,162.3,73.6
331,162.8,73.6
332,163.2,73.6
333,163.7,73.6
334,164.2,73.6
335,164.7,73.6
336,165.2,73.6
337,165.7,73.6
338,166.2,73.9
339,166.6,73.9
340,167.1,73.9
341,167.6,74.2
342,168.1,74.6
343,168.6,74.6
344,169.1,74.9
345,169.5,74.9
346,170.0,74.9
347,170.5,74.9
348,171.0,75.3
349,171.5,75.3
350,172.0,75.3
351,172.5,75.3
352,172.9,75.3
353,173.4,75.3
354,173.9,75.6
355,174.4,75.6
356,174.9,76.0
357,175.4,76.0
358,175.9,76.7
359,176.3,76.7
360,176.8,76.7
361,177.3,77.0
362,177.8,77.0
363,178.3,77.0
364,178.8,77.0
365,179.2,77.0
366,179.7,77.0
367,180.2,77.0
368,180.7,77.0
369,181.2,77.0
370,181.7,77.0
371,182.2,78.1
372,182.6,78.1
373,183.1,78.1
374,183.6,78.1
375,184.1,78.1
376,184.6,78.1
377,185.1,78.1
378,185.6,78.1
379,186.0,78.1
380,186.5,78.1
381,187.0,78.1
382,187.5,78.1
383,188.0,78.1
384,188.5,78.1
385,188.9,78.5
386,189.4,78.5
387,189.9,78.9
388,190.4,78.9
389,190.9,78.9
390,191.4,78.9
391,191.9,78.9
392,192.3,78.9
393,192.8,79.3
394,193.3,79.3
395,193.8,79.3
396,194.3,80.1
397,194.8,80.1
398,195.3,80.1
399,195.7,80.1
400,196.2,80.1
401,196.7,80.1
402,197.2,80.1
403,197.7,80.1
404,198.2,80.5
405,198.6,80.5
406,199.1,80.5
407,199.6,80.5
408,200.1,80.5
409,200.6,80.5
410,201.1,80.5
411,201.6,80.5
412,202.0,80.5
413,202.5,80.5
414,203.0,80.9
415,203.5,81.3
416,204.0,81.3
417,204.5,81.3
418,205.0,81.3
419,205.4,81.3
420,205.9,81.3
421,206.4,81.3
422,206.9,81.3
423,207.4,81.3
424,207.9,81.3
425,208.3,81.3
426,208.8,81.3
427,209.3,81.3
428,209.8,81.3
429,210.3,81.3
430,210.8,81.3
431,211.3,81.7
432,211.7,81.7
433,212.2,82.2
434,212.7,82.2
435,213.2,82.2
436,213.7,82.2
437,214.2,82.2
438,214.7,82.2
439,215.1,82.2
440,215.6,82.2
441,216.1,82.2
442,216.6,82.2
443,217.1,82.2
444,217.6,82.2
445,218.1,82.2
446,218.5,82.2
447,219.0,82.2
448,219.5,82.2
449,220.0,82.2
450,220.5,82.2
451,221.0,82.2
452,221.4,82.2
453,221.9,82.2
454,222.4,82.2
455,222.9,82.6
456,223.4,82.6
457,223.9,82.6
458,224.4,82.6
459,224.8,82.6
460,225.3,82.6
461,225.8,82.6
462,226.3,82.6
463,226.8,82.6
464,227.3,82.6
465,227.8,82.6
466,228.2,82.6
467,228.7,82.6
468,229.2,82.6
469,229.7,82.6
470,230.2,82.6
471,230.7,82.6
472,231.1,82.6
473,231.6,82.6
474,232.1,82.6
475,232.6,82.6
476,233.1,82.6
477,233.6,82.6
478,234.1,82.6
479,234.5,82.6
480,235.0,82.6
481,235.5,82.6
482,236.0,82.6
483,236.5,82.6
484,237.0,82.6
485,237.5,82.6
486,237.9,83.6
487,238.4,83.6
488,238.9,84.0
489,239.4,84.0
490,239.9,84.0
491,240.4,84.0
492,240.8,84.0
493,241.3,84.0
494,241.8,84.0
495,242.3,84.0
496,242.8,84.0
497,243.3,84.0
498,243.8,84.5
499,244.2,84.5
500,244.7,84.5
501,245.2,84.5
502,245.7,84.5
503,246.2,84.5
504,246.7,84.5
505,247.2,84.5
506,247.6,84.5
507,248.1,84.5
508,248.6,84.5
509,249.1,85.0
510,249.6,85.0
511,250.1,85.0
512,250.5,85.0
513,251.0,85.0
514,251.5,85.0
515,252.0,85.0
516,252.5,85.0
517,253.0,85.0
518,253.5,85.0
519,253.9,85.0
520,254.4,85.0
521,254.9,85.0
522,255.4,85.6
523,255.9,85.6
524,256.4,85.6
525,256.9,85.6
526,257.3,85.6
527,257.8,85.6
528,258.3,85.6
529,258.8,85.6
530,259.3,86.1
531,259.8,86.1
532,260.2,86.1
533,260.7,86.1
534,261.2,86.1
535,261.7,86.1
536,262.2,86.1
537,262.7,86.1
538,263.2,86.1
539,263.6,86.1
540,264.1,86.1
541,264.6,86.1
542,265.1,86.1
543,265.6,86.6
544,266.1,86.6
545,266.6,86.6
546,267.0,86.6
547,267.5,86.6
548,268.0,86.6
549,268.5,86.6
550,269.0,86.6
551,269.5,86.6
552,269.9,86.6
553,270.4,86.6
554,270.9,86.6
555,271.4,86.6
556,271.9,86.6
557,272.4,86.6
558,272.9,87.2
559,273.3,87.2
560,273.8,87.2
561,274.3,87.2
562,274.8,87.2
563,275.3,87.2
564,275.8,87.7
565,276.3,87.7
566,276.7,88.3
567,277.2,88.3
568,277.7,88.3
569,278.2,88.3
570,278.7,88.3
571,279.2,88.3
572,279.6,88.3
573,280.1,88.3
574,280.6,88.3
575,281.1,88.8
576,281.6,88.8
577,282.1,88.8
578,282.6,88.8
579,283.0,89.4
580,283.5,89.4
581,284.0,89.4
582,284.5,89.4
583,285.0,89.4
584,285.5,89.4
585,286.0,89.4
586,286.4,89.4
587,286.9,89.4
588,287.4,89.4
589,287.9,89.4
590,288.4,89.4
591,288.9,89.4
592,289.3,89.4
593,289.8,89.4
594,290.3,89.4
595,290.8,89.4
596,291.3,89.4
597,291.8,89.4
598,292.3,89.4
599,292.7,89.4
600,293.2,89.4
601,293.7,89.4
602,294.2,89.4
603,294.7,89.4
604,295.2,89.4
605,295.7,89.4
606,296.1,89.4
607,296.6,89.4
608,297.1,89.4
609,297.6,89.4
610,298.1,89.4
611,298.6,89.4
612,299.0,89.4
613,299.5,89.4
614,300.0,89.4
615,300.5,89.4
616,301.0,89.4
617,301.5,89.4
618,302.0,89.4
619,302.4,89.4
620,302.9,89.4
621,303.4,89.4
622,303.9,89.4
623,304.4,89.4
624,304.9,89.4
625,305.4,89.4
626,305.8,89.4
627,306.3,89.4
628,306.8,89.4
629,307.3,89.4
630,307.8,89.4
631,308.3,89.4
632,308.7,89.4
633,309.2,89.4
634,309.7,89.4
635,310.2,89.4
636,310.7,89.4
637,311.2,89.4
638,311.7,90.0
639,312.1,90.0
640,312.6,90.7
641,313.1,90.7
642,313.6,90.7
643,314.1,90.7
644,314.6,90.7
645,315.1,90.7
646,315.5,90.7
647,316.0,90.7
648,316.5,90.7
649,317.0,90.7
650,317.5,90.7
651,318.0,90.7
652,318.4,90.7
653,318.9,90.7
654,319.4,90.7
655,319.9,90.7
656,320.4,90.7
657,320.9,90.7
658,321.4,90.7
659,321.8,90.7
660,322.3,90.7
661,322.8,90.7
662,323.3,90.7
663,323.8,90.7
664,324.3,91.3
665,324.8,92.0
666,325.2,92.0
667,325.7,92.0
668,326.2,92.0
669,326.7,92.0
670,327.2,92.0
671,327.7,92.0
672,328.1,92.0
673,328.6,92.0
674,329.1,92.0
675,329.6,92.0
676,330.1,92.0
677,330.6,92.0
678,331.1,92.0
679,331.5,92.0
680,332.0,92.0
681,332.5,92.0
682,333.0,92.0
683,333.5,92.7
684,334.0,92.7
685,334.5,92.7
686,334.9,92.7
687,335.4,92.7
688,335.9,92.7
689,336.4,92.7
690,336.9,92.7
691,337.4,92.7
692,337.8,92.7
693,338.3,92.7
694,338.8,92.7
695,339.3,93.3
696,339.8,93.3
697,340.3,93.3
698,340.8,93.3
699,341.2,93.3
700,341.7,93.3
701,342.2,93.3
702,342.7,93.3
703,343.2,93.3
704,343.7,93.3
705,344.2,93.3
706,344.6,93.3
707,345.1,93.3
708,345.6,93.3
709,346.1,93.3
710,346.6,93.3
711,347.1,93.3
712,347.5,93.3
713,348.0,93.3
714,348.5,93.3
715,349.0,93.3
716,349.5,93.3
717,350.0,93.3
718,350.5,93.3
719,350.9,93.3
720,351.4,93.3
721,351.9,93.3
722,352.4,93.3
723,352.9,93.3
724,353.4,93.3
725,353.9,93.3
726,354.3,93.3
727,354.8,93.3
728,355.3,93.3
729,355.8,93.3
730,356.3,93.3
731,356.8,94.1
732,357.3,94.1
733,357.7,94.1
734,358.2,94.1
735,358.7,94.1
736,359.2,94.1
737,359.7,94.1
738,360.2,94.1
739,360.6,94.1
740,361.1,94.1
741,361.6,94.1
742,362.1,94.1
743,362.6,94.1
744,363.1,94.1
745,363.6,94.1
746,364.0,94.1
747,364.5,94.1
748,365.0,94.1
749,365.5,94.1
750,366.0,94.1
751,366.5,94.1
752,367.0,94.1
753,367.4,94.1
754,367.9,94.1
755,368.4,94.1
756,368.9,94.1
757,369.4,94.1
758,369.9,94.1
759,370.3,94.1
760,370.8,94.1
761,371.3,94.1
762,371.8,94.1
763,372.3,94.1
764,372.8,94.1
765,373.3,94.8
766,373.7,94.8
767,374.2,94.8
768,374.7,94.8
769,375.2,94.8
770,375.7,94.8
771,376.2,94.8
772,376.7,94.8
773,377.1,94.8
774,377.6,94.8
775,378.1,94.8
776,378.6,94.8
777,379.1,94.8
778,379.6,94.8
779,380.0,94.8
780,380.5,94.8
