,datehour,ra,datehour1,per
938,2014-11-10 02:00,34.29,2014-11-10 02:00:00,2
1148,2014-11-18 20:00,28.194000000000003,2014-11-18 20:00:00,2
1216,2014-11-21 16:00,27.94,2014-11-21 16:00:00,2
1316,2014-11-25 20:00,27.177999999999997,2014-11-25 20:00:00,2
1769,2014-12-14 17:00,33.52799999999999,2014-12-14 17:00:00,3
3266,2015-02-15 02:00,27.432,2015-02-15 02:00:00,6
5559,2015-05-21 15:00,33.52400000000001,2015-05-21 15:00:00,10
7622,2015-08-15 14:00,29.717999999999996,2015-08-15 14:00:00,13
7664,2015-08-17 08:00,30.481999999999996,2015-08-17 08:00:00,13
8173,2015-09-07 13:00,32.51,2015-09-07 13:00:00,14
8388,2015-09-16 12:00,29.715999999999998,2015-09-16 12:00:00,14
8507,2015-09-21 11:00,34.548,2015-09-21 11:00:00,14
8751,2015-10-01 15:00,29.97,2015-10-01 15:00:00,15
8872,2015-10-06 16:00,43.438,2015-10-06 16:00:00,15
8873,2015-10-06 17:00,31.747999999999998,2015-10-06 17:00:00,15
9185,2015-10-19 17:00,37.338,2015-10-19 17:00:00,15
9186,2015-10-19 18:00,44.958000000000006,2015-10-19 18:00:00,15
9470,2015-10-31 14:00,27.182000000000002,2015-10-31 14:00:00,15
10259,2015-12-03 11:00,29.21,2015-12-03 11:00:00,15
13766,2016-04-27 14:00,59.436,2016-04-27 14:00:00,15
14918,2016-06-14 14:00,27.686000000000003,2016-06-14 14:00:00,17
14982,2016-06-17 06:00,41.65,2016-06-17 06:00:00,17
15121,2016-06-23 01:00,41.907999999999994,2016-06-23 01:00:00,17
15302,2016-06-30 14:00,49.286,2016-06-30 14:00:00,17
15306,2016-06-30 18:00,27.944000000000003,2016-06-30 18:00:00,17
15394,2016-07-04 10:00,36.066,2016-07-04 10:00:00,17
15668,2016-07-15 20:00,40.129999999999995,2016-07-15 20:00:00,18
15948,2016-07-27 12:00,31.497999999999998,2016-07-27 12:00:00,18
17391,2016-09-25 15:00,32.512,2016-09-25 15:00:00,19
17583,2016-10-03 15:00,24.634,2016-10-03 15:00:00,19
17777,2016-10-11 17:00,78.99799999999999,2016-10-11 17:00:00,19
17778,2016-10-11 18:00,28.194,2016-10-11 18:00:00,19
18234,2016-10-30 18:00,72.138,2016-10-30 18:00:00,20
18765,2016-11-21 21:00,31.242,2016-11-21 21:00:00,20
19132,2016-12-07 04:00,27.432,2016-12-07 04:00:00,20
22670,2017-05-03 14:00,54.614000000000004,2017-05-03 14:00:00,23
23349,2017-05-31 21:00,43.696,2017-05-31 21:00:00,24
24555,2017-07-21 03:00,24.384,2017-07-21 03:00:00,25
24747,2017-07-29 03:00,27.686,2017-07-29 03:00:00,25
26029,2017-09-20 13:00,28.442000000000004,2017-09-20 13:00:00,26
26030,2017-09-20 14:00,34.542,2017-09-20 14:00:00,26
26934,2017-10-28 06:00,33.27400000000001,2017-10-28 06:00:00,27
27712,2017-11-29 16:00,30.226000000000003,2017-11-29 16:00:00,29
27951,2017-12-09 15:00,28.194000000000003,2017-12-09 15:00:00,29
30444,2018-03-23 12:00,25.654000000000003,2018-03-23 12:00:00,30
30445,2018-03-23 13:00,36.828,2018-03-23 13:00:00,30
31288,2018-04-27 16:00,24.637999999999998,2018-04-27 16:00:00,31
31661,2018-05-13 05:00,36.830000000000005,2018-05-13 05:00:00,31
31814,2018-05-19 14:00,30.23,2018-05-19 14:00:00,31
31932,2018-05-24 12:00,28.194000000000003,2018-05-24 12:00:00,32
32054,2018-05-29 14:00,44.7,2018-05-29 14:00:00,32
32056,2018-05-29 16:00,33.019999999999996,2018-05-29 16:00:00,32
32319,2018-06-09 15:00,36.322,2018-06-09 15:00:00,32
32655,2018-06-23 15:00,36.072,2018-06-23 15:00:00,32
32680,2018-06-24 16:00,26.672,2018-06-24 16:00:00,32
32868,2018-07-02 12:00,29.976,2018-07-02 12:00:00,32
33134,2018-07-13 14:00,32.766000000000005,2018-07-13 14:00:00,32
33422,2018-07-25 14:00,41.65,2018-07-25 14:00:00,33
33653,2018-08-04 05:00,30.226000000000003,2018-08-04 05:00:00,33
33782,2018-08-09 14:00,42.931999999999995,2018-08-09 14:00:00,33
35062,2018-10-01 22:00,50.292,2018-10-01 22:00:00,34
35318,2018-10-12 14:00,52.327999999999996,2018-10-12 14:00:00,34
35566,2018-10-22 22:00,27.432000000000002,2018-10-22 22:00:00,34
35784,2018-11-01 00:00,28.702,2018-11-01 00:00:00,35
40573,2019-05-19 13:00,45.726000000000006,2019-05-19 13:00:00,41
41904,2019-07-14 00:00,35.306,2019-07-14 00:00:00,43
41917,2019-07-14 13:00,28.194000000000003,2019-07-14 13:00:00,43
42467,2019-08-06 11:00,29.212000000000003,2019-08-06 11:00:00,44
42830,2019-08-21 14:00,30.48,2019-08-21 14:00:00,44
42997,2019-08-28 13:00,37.846000000000004,2019-08-28 13:00:00,45
43783,2019-09-30 07:00,49.024,2019-09-30 07:00:00,46
43982,2019-10-08 14:00,30.482,2019-10-08 14:00:00,46
44029,2019-10-10 13:00,29.468,2019-10-10 13:00:00,46
44415,2019-10-26 15:00,33.786,2019-10-26 15:00:00,47
