per,m_p90.0_wsnumber,m_p90.1_wsnumber,m_p90.2_wsnumber,m_p90.3_wsnumber,m_p90.4_wsnumber,m_p90.5_wsnumber,m_p90.6_wsnumber,m_p90.7_wsnumber,m_p90.8_wsnumber,m_p90.9_wsnumber,m_p91.0_wsnumber,m_p91.1_wsnumber,m_p91.2_wsnumber,m_p91.3_wsnumber,m_p91.4_wsnumber,m_p91.5_wsnumber,m_p91.6_wsnumber,m_p91.7_wsnumber,m_p91.8_wsnumber,m_p91.9_wsnumber,m_p92.0_wsnumber,m_p92.1_wsnumber,m_p92.2_wsnumber,m_p92.3_wsnumber,m_p92.4_wsnumber,m_p92.5_wsnumber,m_p92.6_wsnumber,m_p92.7_wsnumber,m_p92.8_wsnumber,m_p92.9_wsnumber,m_p93.0_wsnumber,m_p93.1_wsnumber,m_p93.2_wsnumber,m_p93.3_wsnumber,m_p93.4_wsnumber,m_p93.5_wsnumber,m_p93.6_wsnumber,m_p93.7_wsnumber,m_p93.8_wsnumber,m_p93.9_wsnumber,m_p94.0_wsnumber,m_p94.1_wsnumber,m_p94.2_wsnumber,m_p94.3_wsnumber,m_p94.4_wsnumber,m_p94.5_wsnumber,m_p94.6_wsnumber,m_p94.7_wsnumber,m_p94.8_wsnumber,m_p94.9_wsnumber,m_p95.0_wsnumber,m_p95.1_wsnumber,m_p95.2_wsnumber,m_p95.3_wsnumber,m_p95.4_wsnumber,m_p95.5_wsnumber,m_p95.6_wsnumber,m_p95.7_wsnumber,m_p95.8_wsnumber,m_p95.9_wsnumber,m_p96.0_wsnumber,m_p96.1_wsnumber,m_p96.2_wsnumber,m_p96.3_wsnumber,m_p96.4_wsnumber,m_p96.5_wsnumber,m_p96.6_wsnumber,m_p96.7_wsnumber,m_p96.8_wsnumber,m_p96.9_wsnumber,m_p97.0_wsnumber,m_p97.1_wsnumber,m_p97.2_wsnumber,m_p97.3_wsnumber,m_p97.4_wsnumber,m_p97.5_wsnumber,m_p97.6_wsnumber,m_p97.7_wsnumber,m_p97.8_wsnumber,m_p97.9_wsnumber,m_p98.0_wsnumber,m_p98.1_wsnumber,m_p98.2_wsnumber,m_p98.3_wsnumber,m_p98.4_wsnumber,m_p98.5_wsnumber,m_p98.6_wsnumber,m_p98.7_wsnumber,m_p98.8_wsnumber,m_p98.9_wsnumber,m_p99.0_wsnumber,m_p99.1_wsnumber,m_p99.2_wsnumber,m_p99.3_wsnumber,m_p99.4_wsnumber,m_p99.5_wsnumber,m_p99.6_wsnumber,m_p99.7_wsnumber,m_p99.8_wsnumber,m_p99.9_wsnumber,area
1,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,9.428571428571429,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,7.7142857142857135,7.7142857142857135,7.7142857142857135,7.7142857142857135,7.7142857142857135,7.7142857142857135,6.0,5.142857142857143,5.142857142857143,5.142857142857143,5.142857142857143,5.142857142857143,5.142857142857143,5.142857142857143,5.142857142857143,5.142857142857143,5.142857142857143,5.142857142857143,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,2.5714285714285716,2.5714285714285716,2.5714285714285716,1.7142857142857142,1.7142857142857142,1.7142857142857142,0.8571428571428571,0.8571428571428571,0.0,185.70000000000002
2,11.428571428571427,11.428571428571427,11.428571428571427,11.428571428571427,11.428571428571427,11.428571428571427,11.428571428571427,11.428571428571427,11.428571428571427,11.428571428571427,11.428571428571427,11.428571428571427,11.428571428571427,11.428571428571427,11.428571428571427,10.0,10.0,10.0,10.0,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,2.8571428571428568,2.8571428571428568,2.8571428571428568,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,0.0,0.0,0.0,628.4714285714285
3,181.5,180.0,169.5,169.5,163.5,162.0,160.5,157.5,156.0,154.5,154.5,151.5,148.5,141.0,139.5,138.0,136.5,135.0,135.0,132.0,132.0,127.5,127.5,122.99999999999999,120.0,118.5,117.0,114.0,111.0,109.5,108.0,108.0,103.5,97.5,96.0,94.5,94.5,94.5,93.0,87.0,87.0,87.0,87.0,87.0,85.5,85.5,85.5,84.0,79.5,73.5,69.0,67.5,66.0,66.0,66.0,63.0,58.5,57.0,54.0,51.0,49.5,45.0,43.5,42.0,40.5,36.0,36.0,36.0,36.0,33.0,31.5,31.5,28.5,28.5,28.5,27.0,25.5,22.5,19.5,19.5,18.0,18.0,18.0,16.5,16.5,15.0,15.0,10.5,9.0,9.0,7.5,4.5,4.5,3.0,1.5,1.5,1.5,1.5,1.5,1.5,830.13
4,401.25,397.5,386.25,386.25,382.5,373.75,370.0,363.75,358.75,357.5,357.5,352.5,352.5,350.0,348.75,342.5,341.25,340.0,337.5,331.25,326.25,316.25,313.75,313.75,308.75,305.0,302.5,302.5,297.5,293.75,291.25,288.75,285.0,280.0,277.5,270.0,268.75,262.5,260.0,256.25,246.25000000000003,241.24999999999997,240.0,237.5,228.75,221.25,215.0,208.75,207.5,207.5,205.0,202.5,200.0,195.0,190.0,188.75,183.75,175.0,170.0,166.25,163.75,157.5,153.75,150.0,146.25,143.75,136.25,133.75,132.5,127.5,123.75,121.25000000000001,113.75,111.25,106.25,102.5,97.5,93.75,91.25,85.0,83.75,82.5,78.75,75.0,65.0,61.24999999999999,58.75,56.25,50.0,46.25,40.0,32.5,26.25,22.5,20.0,16.25,12.5,10.0,6.25,3.75,410.34999999999997
5,775.3125,766.875,760.3125,760.3125,742.5,731.25,722.8125,717.1875,706.875,704.0625,699.375,685.3125,679.6875,666.5625,660.0,646.875,639.375,629.0625,621.5625,612.1875,609.375,601.875,598.125,590.625,579.375,573.75,566.25,561.5625,554.0625,545.625,535.3125,525.9375,512.8125,497.8125,492.1875,484.6875,481.875,466.875,451.875,442.5,437.8125,434.0625,425.625,418.125,409.6875,402.1875,395.625,389.0625,383.4375,378.75,372.1875,359.0625,347.8125,340.3125,331.875,325.3125,317.8125,306.5625,296.25,289.6875,284.0625,270.9375,263.4375,252.1875,239.0625,233.4375,225.0,220.3125,210.0,202.5,194.0625,188.4375,180.9375,173.4375,165.0,157.5,149.0625,140.625,133.125,129.375,120.0,115.3125,110.625,106.875,98.4375,93.75,85.3125,78.75,72.1875,69.375,63.75,60.9375,54.375,42.1875,33.75,27.1875,25.3125,19.6875,15.0,6.5625,579.1031250000001
6,1135.7142857142856,1129.2857142857144,1118.5714285714284,1118.5714285714284,1110.0,1088.5714285714284,1080.0,1071.4285714285716,1058.5714285714284,1047.857142857143,1043.5714285714284,1030.7142857142856,1026.4285714285716,1022.1428571428571,1011.4285714285714,985.7142857142857,981.4285714285714,970.7142857142857,962.1428571428571,951.4285714285714,945.0,938.5714285714286,938.5714285714286,921.4285714285714,908.5714285714286,906.4285714285714,897.8571428571428,889.2857142857142,867.8571428571428,855.0,850.7142857142858,846.4285714285714,844.2857142857142,818.5714285714286,814.2857142857142,812.1428571428572,807.8571428571428,786.4285714285714,771.4285714285714,758.5714285714286,752.1428571428572,745.7142857142858,737.1428571428572,720.0,709.2857142857142,700.7142857142858,687.8571428571428,675.0,668.5714285714286,664.2857142857142,657.8571428571428,640.7142857142858,630.0,617.1428571428572,595.7142857142858,585.0,580.7142857142858,574.2857142857142,559.2857142857142,544.2857142857142,518.5714285714286,503.57142857142856,490.7142857142857,475.7142857142857,469.2857142857143,452.1428571428571,432.8571428571429,428.5714285714286,420.0,405.0,385.7142857142857,370.7142857142857,360.0,349.2857142857143,347.1428571428571,342.8571428571429,332.1428571428571,312.8571428571429,302.1428571428571,287.1428571428571,267.8571428571429,259.2857142857143,250.71428571428572,248.57142857142858,235.7142857142857,220.7142857142857,205.7142857142857,203.57142857142856,195.0,182.14285714285714,173.57142857142856,150.0,139.2857142857143,122.14285714285714,111.42857142857143,96.42857142857143,77.14285714285715,51.42857142857142,34.285714285714285,23.57142857142857,1429.9071428571426
7,1073.142857142857,1065.4285714285713,1050.857142857143,1050.857142857143,1034.5714285714287,1026.857142857143,1019.142857142857,1016.5714285714286,1008.0,1002.8571428571429,995.1428571428571,981.4285714285714,978.0,965.1428571428571,963.4285714285714,950.5714285714286,946.2857142857143,936.8571428571429,931.7142857142857,921.4285714285714,918.0,901.7142857142857,897.4285714285714,888.0,872.5714285714286,866.5714285714286,857.1428571428572,851.1428571428571,837.4285714285714,822.8571428571428,812.5714285714286,807.4285714285714,793.7142857142857,785.1428571428571,780.0,768.8571428571429,759.4285714285714,744.0,732.0,717.4285714285714,708.8571428571429,706.2857142857143,696.8571428571429,688.2857142857143,678.0,664.2857142857142,653.1428571428571,642.0,632.5714285714286,626.5714285714286,616.2857142857143,600.8571428571429,595.7142857142858,587.1428571428572,572.5714285714286,566.5714285714286,553.7142857142857,542.5714285714286,528.0,511.7142857142857,498.8571428571429,481.7142857142857,474.8571428571429,470.57142857142856,462.8571428571429,453.42857142857144,436.2857142857143,431.14285714285717,418.2857142857143,405.42857142857144,390.85714285714283,375.42857142857144,361.7142857142857,353.14285714285717,333.42857142857144,319.7142857142857,306.0,295.7142857142857,285.42857142857144,277.7142857142857,270.0,258.0,245.1428571428571,228.0,214.2857142857143,205.7142857142857,199.71428571428572,180.0,167.14285714285714,154.2857142857143,144.0,127.71428571428571,116.57142857142857,105.42857142857143,91.71428571428571,77.14285714285715,61.71428571428571,47.14285714285714,35.142857142857146,22.285714285714285,211.49142857142857
8,825.7142857142858,821.4285714285713,814.2857142857142,814.2857142857142,810.0,800.0,794.2857142857142,790.0,777.1428571428571,777.1428571428571,771.4285714285714,771.4285714285714,768.5714285714287,758.5714285714286,748.5714285714286,741.4285714285714,735.7142857142858,727.1428571428571,724.2857142857142,711.4285714285714,704.2857142857142,691.4285714285714,684.2857142857143,677.1428571428572,670.0,670.0,664.2857142857142,660.0,652.8571428571429,648.5714285714287,640.0,634.2857142857142,627.1428571428571,615.7142857142858,608.5714285714286,601.4285714285714,600.0,592.8571428571429,584.2857142857142,574.2857142857142,562.8571428571429,555.7142857142858,551.4285714285713,542.8571428571429,538.5714285714286,532.8571428571429,524.2857142857142,508.57142857142856,504.28571428571433,500.00000000000006,497.14285714285717,485.71428571428567,478.57142857142856,471.4285714285714,454.2857142857143,441.4285714285714,431.42857142857144,427.1428571428571,412.8571428571429,411.4285714285714,405.7142857142857,394.2857142857143,388.57142857142856,377.1428571428571,371.42857142857144,354.28571428571433,341.42857142857144,338.5714285714286,338.5714285714286,332.85714285714283,324.28571428571433,312.8571428571429,304.2857142857143,292.8571428571429,282.8571428571429,274.2857142857143,267.14285714285717,258.57142857142856,251.42857142857144,237.14285714285717,227.14285714285714,215.71428571428572,191.42857142857144,181.42857142857142,162.85714285714286,150.0,145.7142857142857,132.85714285714286,124.28571428571429,117.14285714285714,110.0,98.57142857142857,84.28571428571428,68.57142857142857,60.0,54.285714285714285,42.85714285714286,38.57142857142858,22.857142857142854,10.0,74.97142857142858
9,218.57142857142856,218.57142857142856,216.42857142857144,216.42857142857144,213.2142857142857,207.85714285714286,205.7142857142857,202.5,193.92857142857144,191.7857142857143,187.5,177.85714285714286,174.64285714285714,172.5,169.2857142857143,165.0,162.85714285714286,159.64285714285714,158.57142857142856,153.2142857142857,152.14285714285714,145.7142857142857,145.7142857142857,143.57142857142856,140.35714285714286,139.2857142857143,138.2142857142857,138.2142857142857,132.85714285714286,125.35714285714286,123.21428571428571,122.14285714285714,118.92857142857143,117.85714285714285,116.78571428571428,115.71428571428572,113.57142857142857,110.35714285714285,110.35714285714285,110.35714285714285,106.07142857142857,105.0,99.64285714285715,93.21428571428572,91.07142857142857,88.92857142857143,86.78571428571428,84.64285714285715,81.42857142857143,80.35714285714285,79.28571428571428,76.07142857142857,72.85714285714285,69.64285714285715,69.64285714285715,66.42857142857143,64.28571428571428,62.142857142857146,58.92857142857142,56.785714285714285,55.714285714285715,51.42857142857142,49.285714285714285,46.07142857142858,46.07142857142858,45.0,40.714285714285715,38.57142857142858,36.42857142857142,35.35714285714286,35.35714285714286,34.285714285714285,30.0,27.857142857142858,23.57142857142857,20.357142857142858,18.21428571428571,18.21428571428571,13.928571428571429,13.928571428571429,11.785714285714285,11.785714285714285,11.785714285714285,10.714285714285715,9.642857142857144,8.571428571428571,7.5,6.428571428571428,5.357142857142858,3.214285714285714,2.142857142857143,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.99285714285716
10,75.71428571428571,75.71428571428571,72.85714285714285,72.85714285714285,71.42857142857143,71.42857142857143,71.42857142857143,70.0,67.14285714285714,64.28571428571428,61.42857142857142,61.42857142857142,61.42857142857142,61.42857142857142,61.42857142857142,60.0,57.14285714285714,55.714285714285715,55.714285714285715,52.857142857142854,52.857142857142854,52.857142857142854,52.857142857142854,52.857142857142854,50.0,50.0,50.0,48.57142857142857,45.71428571428571,45.71428571428571,45.71428571428571,44.28571428571429,44.28571428571429,44.28571428571429,44.28571428571429,44.28571428571429,44.28571428571429,44.28571428571429,41.42857142857143,40.0,38.57142857142858,38.57142857142858,38.57142857142858,37.142857142857146,37.142857142857146,37.142857142857146,37.142857142857146,37.142857142857146,37.142857142857146,35.714285714285715,34.285714285714285,34.285714285714285,34.285714285714285,34.285714285714285,32.85714285714286,31.42857142857143,30.0,28.57142857142857,27.142857142857142,27.142857142857142,25.71428571428571,25.71428571428571,24.285714285714285,21.42857142857143,20.0,18.571428571428573,17.142857142857142,15.714285714285715,14.285714285714285,14.285714285714285,14.285714285714285,12.857142857142856,12.857142857142856,12.857142857142856,12.857142857142856,12.857142857142856,11.428571428571427,10.0,7.142857142857142,7.142857142857142,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,1.4285714285714284,1.4285714285714284,1.4285714285714284,1213.6857142857143
