,datetime1d,ra
0,2014-10-02,73.16000000000003
1,2014-10-03,58.928000000000004
2,2014-10-04,13.208
3,2014-10-05,37.592
4,2014-10-06,10.16
5,2014-10-07,0.0
6,2014-10-08,48.768
7,2014-10-09,0.0
8,2014-10-10,0.0
9,2014-10-11,0.0
10,2014-10-12,3.048
11,2014-10-13,4.064
12,2014-10-14,10.16
13,2014-10-15,0.0
14,2014-10-16,0.0
15,2014-10-17,65.04
16,2014-10-18,4.064
17,2014-10-19,3.048
18,2014-10-20,10.16
19,2014-10-21,2.032
20,2014-10-22,0.0
21,2014-10-23,26.415999999999997
22,2014-10-24,4.064
23,2014-10-25,0.0
24,2014-10-26,11.175999999999998
25,2014-10-27,19.304000000000002
26,2014-10-28,7.112
27,2014-10-29,0.0
28,2014-10-30,0.0
29,2014-10-31,16.256
30,2014-11-01,25.400000000000002
31,2014-11-02,1.016
32,2014-11-03,4.064
33,2014-11-04,7.112
34,2014-11-05,21.336
35,2014-11-06,21.336
36,2014-11-07,1.016
37,2014-11-08,1.016
38,2014-11-09,11.175999999999998
39,2014-11-10,51.816
40,2014-11-11,3.048
41,2014-11-12,32.512
42,2014-11-13,1.016
43,2014-11-14,0.0
44,2014-11-15,3.048
45,2014-11-16,1.016
46,2014-11-17,38.608
47,2014-11-18,17.272000000000002
48,2014-11-19,57.912
49,2014-11-20,8.128
50,2014-11-21,7.112
51,2014-11-22,108.712
52,2014-11-23,39.624
53,2014-11-24,0.0
54,2014-11-25,23.368000000000002
55,2014-11-26,43.688
56,2014-11-27,0.0
57,2014-11-28,0.0
58,2014-11-29,0.0
59,2014-11-30,0.0
60,2014-12-01,7.112
61,2014-12-02,28.448
62,2014-12-03,28.448
63,2014-12-04,38.608
64,2014-12-05,80.26400000000002
65,2014-12-06,15.24
66,2014-12-07,49.784
67,2014-12-08,8.128
68,2014-12-09,11.175999999999998
69,2014-12-10,0.0
70,2014-12-11,41.656000000000006
71,2014-12-12,10.16
72,2014-12-13,6.096
73,2014-12-14,7.112
74,2014-12-15,84.32799999999999
75,2014-12-16,6.096
76,2014-12-17,5.08
77,2014-12-18,4.064
78,2014-12-19,16.256
79,2014-12-20,6.096
80,2014-12-21,9.144
81,2014-12-22,17.272000000000002
82,2014-12-23,0.0
83,2014-12-24,0.0
84,2014-12-25,0.0
85,2014-12-26,0.0
86,2014-12-27,0.0
87,2014-12-28,0.0
88,2014-12-29,0.0
89,2014-12-30,0.0
90,2014-12-31,0.0
91,2015-01-01,2.032
92,2015-01-02,0.0
93,2015-01-03,0.0
94,2015-01-04,0.0
95,2015-01-05,0.0
96,2015-01-06,0.0
97,2015-01-07,0.0
98,2015-01-08,0.0
99,2015-01-09,0.0
100,2015-01-10,0.0
101,2015-01-11,0.0
102,2015-01-12,0.0
103,2015-01-13,0.0
104,2015-01-14,1.016
105,2015-01-15,1.016
106,2015-01-16,5.08
107,2015-01-17,27.432000000000002
108,2015-01-18,8.128
109,2015-01-19,5.08
110,2015-01-20,0.0
111,2015-01-21,0.0
112,2015-01-22,3.048
113,2015-01-23,15.24
114,2015-01-24,0.0
115,2015-01-25,0.0
116,2015-01-26,0.0
117,2015-01-27,1.016
118,2015-01-28,0.0
119,2015-01-29,1.016
120,2015-01-30,0.0
121,2015-01-31,21.336
122,2015-02-01,1.016
123,2015-02-02,0.0
124,2015-02-03,0.0
125,2015-02-04,1.016
126,2015-02-05,0.0
127,2015-02-06,0.0
128,2015-02-07,0.0
129,2015-02-08,0.0
130,2015-02-09,4.064
131,2015-02-10,0.0
132,2015-02-11,0.0
133,2015-02-12,0.0
134,2015-02-13,0.0
135,2015-02-14,0.0
136,2015-02-15,57.912
137,2015-02-16,1.016
138,2015-02-17,0.0
139,2015-02-18,0.0
140,2015-02-19,4.064
141,2015-02-20,6.096
142,2015-02-21,0.0
143,2015-02-22,0.0
144,2015-02-23,0.0
145,2015-02-24,0.0
146,2015-02-25,0.0
147,2015-02-26,0.0
148,2015-02-27,0.0
149,2015-02-28,0.0
150,2015-03-01,0.0
151,2015-03-02,1.016
152,2015-03-03,2.032
153,2015-03-04,0.0
154,2015-03-05,0.0
155,2015-03-06,0.0
156,2015-03-07,0.0
157,2015-03-08,0.0
158,2015-03-09,0.0
159,2015-03-10,0.0
160,2015-03-11,0.0
161,2015-03-12,0.0
162,2015-03-13,1.016
163,2015-03-14,8.128
164,2015-03-15,0.0
165,2015-03-16,0.0
166,2015-03-17,0.0
167,2015-03-18,4.064
