,datetime1d,wsmx
0,2014-10-02,32.0
1,2014-10-03,33.48
2,2014-10-04,30.66
3,2014-10-05,18.52
4,2014-10-06,17.75
5,2014-10-07,14.68
6,2014-10-08,26.28
7,2014-10-09,18.77
8,2014-10-10,21.59
9,2014-10-11,19.3
10,2014-10-12,17.15
11,2014-10-13,18.13
12,2014-10-14,19.97
13,2014-10-15,19.37
14,2014-10-16,19.09
15,2014-10-17,20.46
16,2014-10-18,20.32
17,2014-10-19,15.38
18,2014-10-20,18.59
19,2014-10-21,17.46
20,2014-10-22,20.36
21,2014-10-23,13.79
22,2014-10-24,17.18
23,2014-10-25,15.7
24,2014-10-26,23.71
25,2014-10-27,20.85
26,2014-10-28,14.75
27,2014-10-29,17.11
28,2014-10-30,18.17
29,2014-10-31,12.81
30,2014-11-01,21.66
31,2014-11-02,16.16
32,2014-11-03,20.0
33,2014-11-04,20.64
34,2014-11-05,24.1
35,2014-11-06,27.2
36,2014-11-07,14.75
37,2014-11-08,18.45
38,2014-11-09,24.31
39,2014-11-10,27.59
40,2014-11-11,21.7
41,2014-11-12,25.08
42,2014-11-13,13.37
43,2014-11-14,17.15
44,2014-11-15,17.08
45,2014-11-16,17.22
46,2014-11-17,17.57
47,2014-11-18,18.1
48,2014-11-19,21.7
49,2014-11-20,16.51
50,2014-11-21,10.94
51,2014-11-22,31.96
52,2014-11-23,18.84
53,2014-11-24,19.47
54,2014-11-25,19.26
55,2014-11-26,22.93
56,2014-11-27,12.38
57,2014-11-28,24.66
58,2014-11-29,30.8
59,2014-11-30,35.24
60,2014-12-01,19.86
61,2014-12-02,23.74
62,2014-12-03,21.59
63,2014-12-04,23.78
64,2014-12-05,16.72
65,2014-12-06,16.55
66,2014-12-07,27.45
67,2014-12-08,28.93
68,2014-12-09,29.56
69,2014-12-10,29.78
70,2014-12-11,26.71
71,2014-12-12,27.24
72,2014-12-13,22.3
73,2014-12-14,16.93
74,2014-12-15,17.78
75,2014-12-16,17.6
76,2014-12-17,22.12
77,2014-12-18,20.74
78,2014-12-19,19.79
79,2014-12-20,30.98
80,2014-12-21,29.85
81,2014-12-22,25.3
82,2014-12-23,17.29
83,2014-12-24,15.84
84,2014-12-25,27.13
85,2014-12-26,24.84
86,2014-12-27,29.95
87,2014-12-28,27.48
88,2014-12-29,27.52
89,2014-12-30,25.26
90,2014-12-31,24.84
91,2015-01-01,31.58
92,2015-01-02,33.59
93,2015-01-03,25.4
94,2015-01-04,26.74
95,2015-01-05,28.15
96,2015-01-06,27.2
97,2015-01-07,29.04
98,2015-01-08,32.67
99,2015-01-09,35.35
100,2015-01-10,31.75
