,date,area,days,areamonth,areapercmonth
0,2014-11-06,216.65,35,185.7,0.04
1,2014-11-27,439.93,21,628.48,0.13
2,2014-12-17,553.42,20,830.14,0.17
3,2015-01-10,328.28,24,410.35,0.08
4,2015-02-11,617.71,32,579.1,0.12
5,2015-02-25,667.29,14,1429.9,0.29
6,2015-04-01,246.74,35,211.49,0.04
7,2015-04-22,52.48,21,74.98,0.01
8,2015-05-20,167.06,28,179.0,0.04
9,2015-06-10,849.58,21,1213.68,0.24
10,2015-06-29,268.6,19,424.11,0.08
11,2015-07-14,251.82,15,503.64,0.1
12,2015-08-19,1261.76,36,1051.46,0.21
13,2015-09-24,1254.34,36,1045.28,0.21
14,2016-05-18,6392.29,237,809.15,0.16
15,2016-06-01,1217.89,14,2609.76,0.52
16,2016-07-13,11257.2,42,8040.86,1.61
17,2016-09-22,2485.29,71,1050.12,0.21
18,2016-10-20,251.41,28,269.37,0.05
19,2016-12-23,1517.4,64,711.28,0.14
20,2017-03-15,527.91,82,193.14,0.04
21,2017-04-21,625.05,37,506.8,0.1
22,2017-05-17,175.75,26,202.79,0.04
23,2017-06-22,562.88,36,469.06,0.09
24,2017-08-31,1408.62,70,603.69,0.12
25,2017-09-27,117.98,27,131.08,0.03
26,2017-10-30,651.77,33,592.52,0.12
27,2017-11-29,609.66,30,609.66,0.12
28,2018-02-28,1363.39,91,449.47,0.09
29,2018-04-04,651.02,35,558.02,0.11
30,2018-05-23,930.03,49,569.41,0.11
31,2018-07-24,5729.63,62,2772.4,0.55
32,2018-08-27,2164.39,34,1909.76,0.38
33,2018-10-26,634.63,60,317.32,0.06
34,2018-11-26,304.51,31,294.69,0.06
35,2018-12-26,244.74,30,244.74,0.05
36,2019-01-28,231.92,33,210.83,0.04
37,2019-02-25,396.41,28,424.73,0.08
38,2019-03-25,457.98,28,490.69,0.1
39,2019-04-24,269.5,30,269.5,0.05
40,2019-05-31,452.57,37,366.95,0.07
41,2019-06-27,1155.51,27,1283.9,0.26
42,2019-07-24,444.98,27,494.43,0.1
43,2019-08-28,440.96,35,377.97,0.08
44,2019-09-23,4175.33,26,4817.69,0.96
45,2019-10-17,433.24,24,541.54,0.11
46,2019-11-28,676.85,42,483.46,0.1
