,date,number,days,numbermonth,numbermonthha
0,2014-11-06,4,35,3.43,0.07
1,2014-11-27,8,21,11.43,0.23
2,2014-12-17,9,20,13.5,0.27
3,2015-01-10,7,24,8.75,0.18
4,2015-02-11,11,32,10.31,0.21
5,2015-02-25,6,14,12.86,0.26
6,2015-04-01,5,35,4.29,0.09
7,2015-04-22,2,21,2.86,0.06
8,2015-05-20,6,28,6.43,0.13
9,2015-06-10,13,21,18.57,0.37
10,2015-06-29,8,19,12.63,0.25
11,2015-07-14,8,15,16.0,0.32
12,2015-08-19,13,36,10.83,0.22
13,2015-09-24,23,36,19.17,0.38
14,2016-05-18,150,237,18.99,0.38
15,2016-06-01,28,14,60.0,1.2
16,2016-07-13,214,42,152.86,3.06
17,2016-09-22,59,71,24.93,0.5
18,2016-10-20,5,28,5.36,0.11
19,2016-12-23,19,64,8.91,0.18
20,2017-03-15,9,82,3.29,0.07
21,2017-04-21,10,37,8.11,0.16
22,2017-05-17,4,26,4.62,0.09
23,2017-06-22,14,36,11.67,0.23
24,2017-08-31,23,70,9.86,0.2
25,2017-09-27,3,27,3.33,0.07
26,2017-10-30,18,33,16.36,0.33
27,2017-11-29,11,30,11.0,0.22
28,2018-02-28,23,91,7.58,0.15
29,2018-04-04,9,35,7.71,0.15
30,2018-05-23,23,49,14.08,0.28
31,2018-07-24,83,62,40.16,0.8
32,2018-08-27,35,34,30.88,0.62
33,2018-10-26,14,60,7.0,0.14
34,2018-11-26,7,31,6.77,0.14
35,2018-12-26,8,30,8.0,0.16
36,2019-01-28,3,33,2.73,0.05
37,2019-02-25,5,28,5.36,0.11
38,2019-03-25,10,28,10.71,0.21
39,2019-04-24,8,30,8.0,0.16
40,2019-05-31,9,37,7.3,0.15
41,2019-06-27,12,27,13.33,0.27
42,2019-07-24,11,27,12.22,0.24
43,2019-08-28,10,35,8.57,0.17
44,2019-09-23,63,26,72.69,1.45
45,2019-10-17,10,24,12.5,0.25
46,2019-11-28,15,42,10.71,0.21
